,Instituto_Orgao,Vagas,Salario_Maximo,Escolaridade,Cidade,Estado,Regiao
90,Prefeitura de Fortim (CE),29.0,2424.0,2,fortim,ceará,NORDESTE
91,Câmara Municipal de Flórida (PR),2.0,1854.14,2,flórida,paraná,SUL
92,Prefeitura de Jundiaí (SP),13.0,2330.02,2,jundiaí,são paulo,SUDESTE
93,Universidade Federal de Minas Gerais (UFMG),31.0,4180.66,4,belo horizonte,minas gerais,SUDESTE
94,Fundação Santa Casa de Misericórdia do Pará (FSCMP),250.0,3696.38,4,pará,pará,NORTE
95,Prefeitura de Piraí do Sul (PR),106.0,15973.23,4,piraí do sul,paraná,SUL
96,Tribunal Superior do Trabalho,300.0,32004.65,4,várias cidades,vários estados,
97,Instituto de Gestão Previdenciária e Proteção Social do Estado do Pará (IGEPPS - PA),24.0,8443.89,4,belém,pará,NORTE
98,Empresa Paraibana de Comunicação (EPC),160.0,3000.0,4,paraíba,paraíba,NORDESTE
99,Prefeitura de Caruaru (PE),24.0,4000.0,4,caruaru,pernambuco,NORDESTE
100,Instituto de Gestão Previdenciária e Proteção Social do Estado do Pará,24.0,8443.89,4,pará,pará,NORTE
101,Prefeitura de Itapecerica da Serra (SP),48.0,6051.52,4,itapecerica da serra,são paulo,SUDESTE
102,Prefeitura de Uirapuru (GO),124.0,2424.0,4,uirapuru,goiás,CENTRO-OESTE
103,Câmara Municipal de Cunha (SP),1.0,3723.91,4,cunha,são paulo,SUDESTE
104,Prefeitura de Óbidos (PA),409.0,6000.0,4,óbidos,pará,NORTE
105,Corpo de Bombeiros Militar do Estado do Rio de Janeiro (CBM-RJ),800.0,5056.46,3,rio de janeiro,rio de janeiro,SUDESTE
106,Consórcio Público Intermunicipal de Saúde da Rede de Emergência da Macrorregião do Triângulo do Norte - Cistri (MG),239.0,8000.0,4,várias cidades,minas gerais,SUDESTE
107,Prefeitura de Garopaba (SC),451.0,16565.05,4,garopaba,santa catarina,SUL
108,Prefeitura de Nova Mutum (MT),262.0,18508.85,4,nova mutum,mato grosso,CENTRO-OESTE
109,Prefeitura Municipal de Foz do Jordão (PR),11.0,4508.18,4,foz do jordão,paraná,SUL
110,Prefeitura de Perdões (MG),69.0,12337.04,4,perdões,minas gerais,SUDESTE
111,Ministério Público de Santa Catarina (SC),5.0,28883.98,4,florianópolis,santa catarina,SUL
112,Serviço Autônomo Municipal de Água e Esgoto de Tietê (SAMAE - SP),13.0,3224.77,4,são paulo,são paulo,SUDESTE
113,Indústria de Material Bélico do Brasil - IMBEL (MG),10.0,2153.3,3,juiz de fora,minas gerais,SUDESTE
114,Câmara de Correia Pinto,3.0,2684.14,4,correia pinto,santa catarina,SUL
115,Câmara Municipal de Nova Granada (S),1.0,4849.39,4,nova granada,são paulo,SUDESTE
116,Prefeitura de Cristalina (GO),29.0,8099.52,4,cristalina,goiás,CENTRO-OESTE
117,Prefeitura de Carnaubeira da Penha (PE),102.0,10000.0,4,carnaubeura da penha,pernambuco,NORDESTE
118,Procuradoria Geral do Município de Niterói (RJ),29.0,6838.92,4,niterói,rio de janeiro,SUDESTE
119,Procuradoria Geral de Niterói,29.0,6838.92,4,niterói,rio de janeiro,SUDESTE
120,Prefeitura de Oriximiná (PA),49.0,2585.99,4,oroximiná,pará,NORTE
121,Prefeitura de Unistalda (RS),22.0,2972.77,4,unistalda,rio grande do sul,SUL
122,Governo do Estado do Pará,136.0,3104.35,4,pará,pará,NORTE
123,Companhia de Desenvolvimento de Guaratinguetá,30.0,6709.44,4,guaratinguetá,são paulo,SUDESTE
124,Prefeitura de Sâo Vicente (SP),29.0,9772.8,4,são vicente,são paulo,SUDESTE
125,Controladoria Geral do Município do Rio de Janeiro,41.0,10175.24,4,rio de janeiro,rio de janeiro,SUDESTE
126,Prefeitura de Ilha Solteira,115.0,12923.94,4,ilha solteira,são paulo,SUDESTE
127,Prefeitura de Ampére (PR),30.0,13601.23,4,ampére,paraná,SUL
128,Prefeitura de Ilha Solteira,92.0,20912.35,4,ilha solteira,são paulo,SUDESTE
129,Prefeitura de Três Barras (SC),117.0,3310.69,4,três barras,santa catarina,SUL
130,Prefeitura de Brumadinho (MG),108.0,4800.93,4,brumadinho,minas gerais,SUDESTE
131,Instituto de Previdência dos Servidores do Distrito Federal,85.0,6760.0,4,distrito federal,distrito federal,CENTRO-OESTE
132,Companhia Integrada de Desenvolvimento de Agrícola de Santa Catarina,54.0,7324.58,4,santa catarina,santa catarina,SUL
133,Companhia Integrada de Desenvolvimento de Agrícola de Santa Catarina - Cidasc,54.0,7324.58,4,santa catarina,santa catarina,SUL
134,UFV - Universidade Federal de Viçosa,3.0,9616.18,4,viçosa,minas gerais,SUDESTE
135,Universidade de São Paulo (USP),4.0,19885.85,4,são paulo,são paulo,SUDESTE
136,Câmara Municipal de Brás Pires (MG),3.0,1800.0,4,brás pires,minas gerais,SUDESTE
137,Prefeitura de Conceição do Rio Verde (MG),40.0,10000.0,4,conceição do rio verde,minas gerais,SUDESTE
138,Advocacia Geral da União (AGU),300.0,21014.49,4,brasília,distrito federal,CENTRO-OESTE
139,Procuradoria Geral do Estado do Espírito Santo - PGE/ES,8.0,22016.07,4,espírito santo,espírito santo,SUDESTE
140,Universidade de São Paulo (USP),1.0,19885.85,4,são paulo,são paulo,SUDESTE
141,Tribunal de Justiça do Estado de Mato Grosso do Sul (TJ - MS),15.0,27363.98,4,campo grande,mato grosso do sul,CENTRO-OESTE
142,Tribunal de Justiça do Estado do Espírito Santo (TJ - ES),128.0,9596.81,4,vitória,espírito santo,SUDESTE
143,Prefeitura de Lacerdópolis (SC),47.0,21718.74,4,lacerdópolis,santa catarina,SUL
144,Instituto de Previdência de Leme (SP),7.0,6064.22,4,leme,são paulo,SUDESTE
145,Ministério Público da Bahia,13.0,6154.13,4,bahia,bahia,NORDESTE
146,Tribunal de Justiça do Estado do Espírito Santo (ES),128.0,9696.81,4,várias cidades,espírito santo,SUDESTE
147,Prefeitura de Pacajus (CE),370.0,14000.0,4,pacajus,ceará,NORDESTE
148,Prefeitura de Mogi Guaçu (SP),19.0,3528.62,4,mogi guaçu,são paulo,SUDESTE
149,Prefeitura de Barra do Bugres (MT),132.0,6027.73,4,barra do bugres,mato grosso,CENTRO-OESTE
150,Prefeitura de Capela (SE),300.0,10000.0,4,capela,sergipe,NORDESTE
151,Universidade Federal de Mato Grosso do Sul (UFMS),11.0,10074.18,4,mato grosso do sul,mato grosso do sul,CENTRO-OESTE
152,Secretaria do Estado de Planejamento e de Administração (Seplad - PA),121.0,3696.38,4,belém,pará,NORTE
153,Hospital Ophir Loyola - HOL (PA),121.0,3696.38,4,belém,pará,NORTE
154,Comusa - Serviços de Água e Esgoto de Novo Hamburgo (RS),44.0,6918.9,4,nobo hamburgo,rio grande do sul,SUL
155,Prefeitura de Cachoeirinha (PE),18.0,4153.28,4,cachoeirinha,pernambuco,NORDESTE
156,Procuradoria Geral do Município de Niterói (RJ),6.0,15334.15,4,niterói,rio de janeiro,SUDESTE
157,Prefeitura de Farroupilha (RS),116.0,19011.63,4,farroupilha,rio grande do sul,SUL
158,Faculdade de Odontologia da Universidade de São Paulo,1.0,19855.85,4,são paulo,são paulo,SUDESTE
159,Marinha,1.08,2294.5,2,rio de janeiro e brasília,rio de janeiro e distrito federal,
160,Prefeitura de Sete Lagoas (MG),593.0,1664.64,4,sete lagoas,minas gerais,SUDESTE
161,Câmara Municipal de Cuité de Mamanguape (PB),9.0,1818.0,4,cuité de mamanguape,paraíba,NORDESTE
162,Prefeitura de Bertioga (SP),100.0,2513.07,2,bertioga,são paulo,SUDESTE
163,Prefeitura de Palmas (TO),50.0,3440.77,2,palmas,tocantins,NORTE
164,Fundação Estadual de Proteção Ambiental Henrique Luis Roessler - Fepam (RS),56.0,6646.96,4,várias cidades,rio grande do sul,SUL
165,Prefeitura de Capivari (SP),57.0,15519.11,4,capivari,são paulo,SUDESTE
166,Instituto Federal do Sul de Minas,4.0,9616.18,4,"pouso alegre, passos e poços de caldas",minas gerais,SUDESTE
