,Instituto_Orgao,Vagas,Salario_Maximo,Escolaridade,Cidade,Estado
137,UFV - Universidade Federal de Viçosa,3,"R$ 9.616,18",superior,Viçosa,Minas Gerais
138,Universidade de São Paulo (USP),4,"R$ 19.885,85",superior,São Paulo,São Paulo
139,Câmara Municipal de Brás Pires (MG),3,"R$ 1.800,00",superior,Brás Pires,Minas Gerais
140,Prefeitura de Conceição do Rio Verde (MG),40,"R$ 10.000,00","fundamental, médio e superior",Conceição do Rio Verde,Minas Gerais
141,Advocacia Geral da União (AGU),300,"R$ 21.014,49",superior,Brasília,Distrito Federal
142,Procuradoria Geral do Estado do Espírito Santo - PGE/ES,8,"R$ 22.016,07",superior,Espírito Santo,Espírito Santo
143,Universidade de São Paulo (USP),1,"R$ 19.885,85",superior,São Paulo,São Paulo
144,Tribunal de Justiça do Estado de Mato Grosso do Sul (TJ - MS),15,"R$ 27.363,98",superior,Campo Grande,Mato Grosso do Sul
145,Tribunal de Justiça do Estado de Mato Grosso do Sul (MS),,"R$ 27.363,98",superior,várias cidades,Mato Grosso do Sul
146,Tribunal de Justiça do Estado do Espírito Santo (TJ - ES),128,"R$ 9.596,81",superior,Vitória,Espírito Santo
147,Prefeitura de Lacerdópolis (SC),47,"R$ 21.718,74","alfabetizado, fundamental, médio e superior",Lacerdópolis,Santa Catarina
148,Instituto de Previdência de Leme (SP),7,"R$ 6.064,22","fundamental, médio e superior",Leme,São Paulo
149,Ministério Público da Bahia,13,"R$ 6.154,13",médio e superior,Bahia,Bahia
150,Tribunal de Justiça do Estado do Espírito Santo (ES),128,"R$ 9.696,81",superior,várias cidades,Espírito Santo
151,Prefeitura de Pacajus (CE),370,"R$ 14.000,00","fundamental, médio, técnico e superior",Pacajus,Ceará
152,Prefeitura de Mogi Guaçu (SP),19,"R$ 3.528,62","fundamental, médio e superior",Mogi Guaçu,São Paulo
153,Prefeitura de Barra do Bugres (MT),132,"R$ 6.027,73","fundamental, médio e superior",Barra do Bugres,Mato Grosso
154,Prefeitura de Capela (SE),300,"R$ 10.000,00","fundamental, médio e superior",Capela,Sergipe
155,Universidade Federal de Mato Grosso do Sul (UFMS),11,"R$ 10.074,18",superior,Mato Grosso do Sul,Mato Grosso do Sul
156,Secretaria do Estado de Planejamento e de Administração (Seplad - PA),121,"R$ 3.696,38",médio e superior,Belém,Pará
157,Hospital Ophir Loyola - HOL (PA),121,"R$ 3.696,38",médio e superior,Belém,Pará
158,Comusa - Serviços de Água e Esgoto de Novo Hamburgo (RS),44,"R$ 6.918,90","fundamental, médio, técnico e superior",Nobo Hamburgo,Rio Grande do Sul
159,Prefeitura de Cachoeirinha (PE),18,"R$ 4.153,28",médio e superior,Cachoeirinha,Pernambuco
160,Procuradoria Geral do Município de Niterói (RJ),6,"R$ 15.334,15",superior,Niterói,Rio de Janeiro
161,Prefeitura de Farroupilha (RS),116,"R$ 19.011,63","fundamental, médio e superior",Farroupilha,Rio Grande do Sul
162,Faculdade de Odontologia da Universidade de São Paulo,1,"R$ 19.855,85",superior,São Paulo,São Paulo
163,Marinha,1.080,"R$ 2.294,50",médio,Rio de Janeiro e Brasília,Rio de Janeiro e Distrito Federal
164,Prefeitura de Sete Lagoas (MG),593,"R$ 1.664,64","fundamental, médio e superior",Sete Lagoas,Minas Gerais
165,Câmara Municipal de Cuité de Mamanguape (PB),9,"R$ 1.818,00","fundamental, médio e superior",Cuité de Mamanguape,Paraíba
166,Prefeitura de Bertioga (SP),100,"R$ 2.513,07",médio,Bertioga,São Paulo
167,Prefeitura de Palmas (TO),50,"R$ 3.440,77",médio,Palmas,Tocantins
168,Fundação Estadual de Proteção Ambiental Henrique Luis Roessler - Fepam (RS),56,"R$ 6.646,96","médio, técnico e superior",várias cidades,Rio Grande do Sul
169,Prefeitura de Capivari (SP),57,"R$ 15.519,11","fundamental, médio e superior",Capivari,São Paulo
170,Instituto Federal do Sul de Minas,4,"R$ 9.616,18",superior,"Pouso Alegre, Passos e Poços de Caldas",Minas Gerais
