,Instituto_Orgao,Vagas,Salario_Maximo,Escolaridade,Cidade,Estado
144,Tribunal de Justiça do Estado de Mato Grosso do Sul (TJ - MS),15.0,27363.98,superior,campo grande,mato grosso do sul
146,Tribunal de Justiça do Estado do Espírito Santo (TJ - ES),128.0,9596.81,superior,vitória,espírito santo
147,Prefeitura de Lacerdópolis (SC),47.0,21718.74,"alfabetizado, fundamental, médio e superior",lacerdópolis,santa catarina
148,Instituto de Previdência de Leme (SP),7.0,6064.22,"fundamental, médio e superior",leme,são paulo
149,Ministério Público da Bahia,13.0,6154.13,médio e superior,bahia,bahia
150,Tribunal de Justiça do Estado do Espírito Santo (ES),128.0,9696.81,superior,várias cidades,espírito santo
151,Prefeitura de Pacajus (CE),370.0,14000.0,"fundamental, médio, técnico e superior",pacajus,ceará
152,Prefeitura de Mogi Guaçu (SP),19.0,3528.62,"fundamental, médio e superior",mogi guaçu,são paulo
153,Prefeitura de Barra do Bugres (MT),132.0,6027.73,"fundamental, médio e superior",barra do bugres,mato grosso
154,Prefeitura de Capela (SE),300.0,10000.0,"fundamental, médio e superior",capela,sergipe
155,Universidade Federal de Mato Grosso do Sul (UFMS),11.0,10074.18,superior,mato grosso do sul,mato grosso do sul
156,Secretaria do Estado de Planejamento e de Administração (Seplad - PA),121.0,3696.38,médio e superior,belém,pará
157,Hospital Ophir Loyola - HOL (PA),121.0,3696.38,médio e superior,belém,pará
158,Comusa - Serviços de Água e Esgoto de Novo Hamburgo (RS),44.0,6918.9,"fundamental, médio, técnico e superior",nobo hamburgo,rio grande do sul
159,Prefeitura de Cachoeirinha (PE),18.0,4153.28,médio e superior,cachoeirinha,pernambuco
160,Procuradoria Geral do Município de Niterói (RJ),6.0,15334.15,superior,niterói,rio de janeiro
161,Prefeitura de Farroupilha (RS),116.0,19011.63,"fundamental, médio e superior",farroupilha,rio grande do sul
162,Faculdade de Odontologia da Universidade de São Paulo,1.0,19855.85,superior,são paulo,são paulo
163,Marinha,1.08,2294.5,médio,rio de janeiro e brasília,rio de janeiro e distrito federal
164,Prefeitura de Sete Lagoas (MG),593.0,1664.64,"fundamental, médio e superior",sete lagoas,minas gerais
165,Câmara Municipal de Cuité de Mamanguape (PB),9.0,1818.0,"fundamental, médio e superior",cuité de mamanguape,paraíba
166,Prefeitura de Bertioga (SP),100.0,2513.07,médio,bertioga,são paulo
167,Prefeitura de Palmas (TO),50.0,3440.77,médio,palmas,tocantins
168,Fundação Estadual de Proteção Ambiental Henrique Luis Roessler - Fepam (RS),56.0,6646.96,"médio, técnico e superior",várias cidades,rio grande do sul
169,Prefeitura de Capivari (SP),57.0,15519.11,"fundamental, médio e superior",capivari,são paulo
170,Instituto Federal do Sul de Minas,4.0,9616.18,superior,"pouso alegre, passos e poços de caldas",minas gerais
