,bathrooms,bedrooms,city,country,homeStatus,homeType,isNonOwnerOccupied,isPreforeclosureAuction,livingArea,lotAreaUnit,lotAreaValue,price,rentZestimate,zestimate
560,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1248.0,sqft,6534.0,260000.0,1749,259900
561,2.0,3.0,Orlando,USA,FOR_SALE,CONDO,True,False,1391.0,acres,0.37,285000.0,2122,281889
562,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2487.0,acres,0.89,515000.0,2749,503770
563,6.0,6.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,4671.0,sqft,9583.2,1851995.0,0.0,0.0
564,2.0,2.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1843.0,sqft,8276.4,405000.0,0.0,0.0
565,2.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1154.0,sqft,1742.4,265000.0,1999,262400
566,3.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2298.0,noUnit,0.0,719990.0,3842,0.0
567,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1107.0,sqft,3484.8,299999.0,0.0,0.0
568,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1222.0,sqft,7840.8,350000.0,1849,349900
569,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1632.0,sqft,10454.4,375000.0,2300,370200
570,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1520.0,sqft,8712.0,410000.0,0.0,0.0
571,3.0,5.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2928.0,sqft,9583.2,549000.0,0.0,0.0
572,1.0,1.0,Orlando,USA,FOR_SALE,CONDO,True,False,816.0,acres,0.52,185000.0,1500,180900
573,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2578.0,sqft,6534.0,350000.0,2995,345600
574,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,934.0,acres,2.35,230000.0,1699,227800
575,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2192.0,sqft,7405.2,410000.0,2720,422000
576,3.0,2.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,2337.0,sqft,871.2,628000.0,3434,614000
577,1.0,1.0,Orlando,USA,FOR_SALE,CONDO,True,False,529.0,acres,0.36,133500.0,1300,126600
578,3.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1791.0,sqft,2613.6,509000.0,2900,494861
579,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1407.0,sqft,10018.8,375000.0,2100,374900
580,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,980.0,acres,0.36,340000.0,1500,339300
581,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1468.0,sqft,10018.8,364900.0,2295,364900
582,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1020.0,sqft,4791.6,275000.0,1749,274600
583,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1792.0,sqft,8712.0,439900.0,2495,429977
584,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,3771.0,noUnit,0.0,687990.0,1881,0.0
585,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,3044.0,acres,0.51,899900.0,4736,883400
586,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1772.0,sqft,10018.8,400000.0,2493,399700
587,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1308.0,sqft,1742.4,332500.0,2197,330900
588,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,3178.0,sqft,8712.0,989680.0,5277,977400
589,4.0,5.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,3514.0,sqft,6534.0,599990.0,0.0,0.0
590,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,1051.0,acres,0.54,190000.0,1500,184800
591,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2380.0,sqft,9583.2,560000.0,2900,547800
592,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1655.0,acres,0.27999999999999997,390000.0,2190,390000
593,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2364.0,acres,0.27,675000.0,3300,668100
594,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,1258.0,sqft,5227.2,229990.0,1898,226024
595,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1594.0,sqft,2178.0,349990.0,0.0,0.0
596,3.0,3.0,Orlando,USA,FOR_SALE,CONDO,True,False,1581.0,sqft,871.2,369500.0,0.0,0.0
597,0.0,0.0,Orlando,USA,FOR_SALE,LOT,True,False,0.0,sqft,5662.8,499000.0,2499,0.0
598,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1868.0,acres,0.29,469900.0,2549,466400
599,4.0,6.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,3142.0,sqft,7840.8,789990.0,0.0,0.0
